date,steps,distance,activeScore,activityCalories
1/1/2013,3256,2.40618,443,804
1/2/2013,20021,14.79552,1235,1957
1/3/2013,5396,3.98764,474,809
1/4/2013,7041,5.2033,604,1013
1/5/2013,6522,4.81976,669,1156
1/6/2013,3053,2.25617,364,664
1/7/2013,3225,2.38328,472,868
1/8/2013,7069,5.22399,758,1279
1/9/2013,6769,5.00229,675,1143
1/10/2013,5100,3.7689,531,938
1/11/2013,3883,2.86954,537,957
1/12/2013,7108,5.25281,752,1388
1/13/2013,7455,5.50925,636,1178
1/14/2013,8899,6.57636,846,1442
1/15/2013,5301,3.91744,660,1179
1/16/2013,9265,6.84684,679,1118
1/17/2013,8645,6.38866,672,1114
1/18/2013,4821,3.56272,512,867
1/19/2013,4282,3.1644,452,822
1/20/2013,11530,8.52067,814,1336
1/21/2013,8301,6.13444,625,1014
1/22/2013,8137,6.01324,657,1071
1/23/2013,7843,5.79598,610,1004
1/24/2013,3884,2.87028,479,832
1/25/2013,50,0.03695,23,46
1/26/2013,8640,6.38496,713,1164
1/27/2013,9,0.00665,3,9
1/28/2013,11221,8.29232,744,1190
1/29/2013,1143,0.84468,131,244
1/30/2013,3394,2.50817,229,3
1/31/2013,7720,5.70508,576,965
2/1/2013,3846,2.84219,411,705
2/2/2013,4148,3.06537,527,960
2/3/2013,1666,1.23117,288,540
2/4/2013,10474,7.74029,729,1173
2/5/2013,4029,2.97743,387,666
2/6/2013,8699,6.42856,599,1020
2/7/2013,7088,5.23803,514,863
2/8/2013,9195,6.79511,675,1095
2/9/2013,2852,2.10763,400,751
2/10/2013,6804,5.02816,424,773
2/11/2013,9829,7.26363,640,1054
2/12/2013,3741,2.7646,405,711
2/13/2013,6089,4.49977,575,959
2/14/2013,12904,9.53606,821,1348
2/15/2013,4928,3.64179,508,889
2/16/2013,3506,2.59093,351,636
2/17/2013,1499,1.10776,201,384
2/18/2013,8303,6.13592,574,955
2/19/2013,5422,4.00686,527,900
2/20/2013,7887,5.82849,572,978
2/21/2013,3149,2.32711,383,700
2/22/2013,8241,6.0901,544,901
2/23/2013,1798,1.32872,118,203
2/24/2013,3408,2.51851,236,421
2/25/2013,6272,4.63501,653,1179
2/26/2013,5446,4.02459,551,958
2/27/2013,7296,5.39174,540,918
2/28/2013,4360,3.22204,502,885
3/1/2013,4188,3.09493,427,746
3/2/2013,6981,5.15896,629,1082
3/3/2013,4030,2.97817,334,619
3/4/2013,9168,6.77515,636,1025
3/5/2013,4242,3.13484,474,830
3/6/2013,9027,6.67095,648,1068
